CON_TICKET_ID,VIC_DESCRIPTION,CLM_DESCRIPTION,CON_ISSUE_DATE,VKL_DESCRIPTION
10R09000,Parking Without Authorization,Fraser River Parkade,15-01-02,Volkswagen
10R09001,Expired Time,Acute Care Unit Lot,15-01-02,Honda
10R09002,Parking Without Authorization,Wesbrook Mall,15-01-02,Toyota
10R09003,Parking Without Authorization,Wesbrook Mall,15-01-02,Honda
10R09004,Parking Without Authorization,B4 LOT,15-01-02,Toyota
10R09005,Parking Without Authorization,C2 LOT,15-01-02,Toyota
10R09006,Parking Without Authorization,C2 LOT,15-01-02,Honda
10R09007,Parking Without Authorization,Walter Gage Road,15-01-02,Audi
10R09008,Parking Without Authorization,Student Union Mall,15-01-02,Audi
10R09009,Parking Without Authorization,Strangway Parking Lot,15-01-02,Ford
10R09010,Parking Without Authorization,Gas Gun Lot,15-01-02,Toyota
10R09011,Parking Without Authorization,West Mall Road,15-01-02,Dodge
10R09012,Parking Without Authorization,Old Fire Hall Meters,15-01-02,General Motors
10R09013,Parking Without Authorization,Buchanan Meters,15-01-02,Toyota
10S00001,No Authorization Displayed,Buchanan Meters,15-01-05,Acura
10S00002,Expired Time,University Boulevard,15-01-05,Honda
10S00003,Expired Time,Strangway Parking Lot,15-01-05,Toyota
10S00004,Expired Time,Strangway Parking Lot,15-01-05,Chrysler
10S00005,Expired Time,Strangway Parking Lot,15-01-05,Honda
10S00006,Expired Time,Acute Care Unit Lot,15-01-05,Mercendes-Benz
10S00007,Expired Time,Acute Care Unit Lot,15-01-05,BMW
10S00008,Expired Time,Acute Care Unit Lot,15-01-05,Mazda
10S00009,Expired Time,Acute Care Unit Lot,15-01-05,Mercendes-Benz
10S00010,Expired Time,Acute Care Unit Lot,15-01-05,Mini
10S00011,Expired Time,C2 LOT,15-01-05,Volkswagen
10S00012,Expired Time,Winter Sports Lot,15-01-05,Toyota
10S00013,Expired Time,Wright Field Lot,15-01-05,Jeep
10S00014,Expired Time,Wright Field Lot,15-01-05,BMW
10S00015,Expired Time,Wright Field Lot,15-01-05,Honda
10S00016,Expired Time,Wesbrook Mall South,15-01-05,Mazda
10S00017,Parking Without Authorization,East Mall Road,15-01-05,Chevrolet
10S00018,Expired Time,Stadium Lot,15-01-05,Toyota
10S00019,Expired Time,East Mall Road,15-01-05,Acura
10S00020,Expired Time,East Mall Road,15-01-05,SmartCar
10S00021,Expired Time,East Mall Road,15-01-05,Audi
10S00022,Parking in Improper Location,Thunderbird Crescent,15-01-05,Ford
10S00023,Parking in Improper Location,Thunderbird Crescent,15-01-05,Ford
10S00024,Expired Time,Totem Meters,15-01-05,Honda
10S00025,Expired Time,Winter Sports Lot,15-01-05,Toyota
10S00026,Expired Time,Winter Sports Lot,15-01-05,Volkswagen
10S00027,Expired Time,Wesbrook Mall South,15-01-05,Honda
10S00028,Expired Time,Wesbrook Mall South,15-01-05,Ford
10S00029,Expired Time,Sports Medicine Lot,15-01-05,Ford
10S00030,Parking in Improper Location,Biological Sciences ,15-01-05,Ford
10S00031,Expired Time,Purdy Pavillion,15-01-05,Mazda
10S00032,Expired Time,Purdy Pavillion,15-01-05,Volkswagen
10S00033,Parking in Improper Location,Thunderbird Residence,15-01-09,BMW
10S00034,Parking Without Authorization,GSAB Lot,15-01-12,Acura
10S00035,Parking Without Authorization,Purdy Pavillion,15-01-12,General Motors
10S00036,Parking in Improper Location,University Boulevard,15-01-12,Unspecified
10S00037,Expired Time,2200 Blk Wesbrook Mall,15-01-12,Subaru
10S00038,Parking Without Authorization,Hospital Lane,15-01-13,Land Rover
10S00039,Parking Without Authorization,Marine Drive Residences,15-01-13,Honda
10S00040,Parking Without Authorization,Marine Drive Residences,15-01-13,Nissan
10S00041,Parking Without Authorization,Fraser River Parkade,15-01-13,BMW
10S00042,Parking Without Authorization,MOA Lot,15-01-13,Ford
10S00043,Expired Time,Cecil Green Road,15-01-13,Toyota
10S00044,Parking Without Authorization,B4 LOT,15-01-14,Chevrolet
10S00045,Parking Without Authorization,Stadium Lot,15-01-14,Volkswagen
11R03357,Parking Without Authorization,Buchanan Meters,15-01-02,Subaru
